PI4KB,Pi4kb
OR52R1,Or52r1c
OR52W1,Or52w1
OR52Z1P,Or52z1
OR56A3,Or56a3
OR56A3,Or56a3b
OR56A4,Or56a4
OR56A4,Or56a5
OR56A5,Or56a5
OR56B1,Or56b1b
OR56B1,Or56b1
OR56B2P,Or56b2j
OR56B2P,Or56b2
OR56B4,Or56b34
OR56B4,Or56b35
OR56B4,Or56b2j
OR5A1,Or5a1
OR5A2,Or5a21
OR5AC1,Or5ac16
OR5AC1,Or5ac20
OR5AC1,Or5ac19
OR5AC1,Or5ac17
OR5AC2,Or5ac16
OR5AK2,Or5ak24
OR5AK2,Or5ak25
OR5AK2,Or5ak23
OR5AK3P,Or5ak24
OR5AK3P,Or5ak25
OR5AK3P,Or5ak23
OR5AL1,Or5al5
OR5AL1,Or5al6
OR5AL1,Or5al1
OR5AN1,Or5an1
OR5AN1,Or5an1c
OR5AN1,Or5an11
OR5AN1,Or5an10
OR5AN1,Or5an9
OR5AN1,Or5an1b
OR5AP2,Or5ap2
OR5AR1,Or5ar1
OR5AS1,Or5as1
OR5AU1,Or5au1
OR5B12,Or5b12b
OR5B12,Or5b12
OR5B17,Or5b113
OR5B2,Or5b99
OR5B21,Or5b21
OR5B3,Or5b109
OR5B3,Or5b113
OR5B3,Or5b108
OR5B3,Or5b95
OR5B3,Or5b105
OR5B3,Or5b112
OR5B3,Or5b104
OR5B3,Or5b111
OR5B3,Or5b107
OR5B3,Or5b101
OR5B3,Or5b102
OR5B3,Or5b97
OR5B3,Or5b3
OR5B3,Or5b106
OR5B3,Or5b96
OR5C1,Or5c1
OR5D14,Or5d14
OR5D14,Or5d36
OR5D16,Or5d16
OR5D16,Or5d18
OR5D18,Or5d35
OR5D18,Or5d47
OR5D18,Or5d16
OR5D18,Or5d18
OR5D3P,Or5d44
OR5D3P,Or5d45
OR5D3P,Or5d3
OR5G3,Or5g27
OR5G3,Or5g23
OR5G3,Or5g29
OR5H1,Or5h23
OR5H1,Or5h22
OR5H1,Or5h26
OR5H1,Or5h25
OR5H1,Or5h18
OR5H14,Or5h23
OR5H14,Or5h25
OR5H14,Or5h18
OR5H14,Or5h22
OR5H15,Or5h23
OR5H15,Or5h22
OR5H15,Or5h26
OR5H15,Or5h25
OR5H15,Or5h17
OR5H15,Or5h18
OR5H2,Or5h18
OR5H2,Or5h23
OR5H2,Or5h26
OR5H2,Or5h22
OR5H6,Or5h25
OR5H6,Or5h18
OR5H6,Or5h22
OR5H6,Or5h17
OR5H6,Or5h19
OR5H6,Or5h26
OR5H6,Or5h23
OR5H8,Or5h25
OR5H8,Or5h26
OR5H8,Or5h23
OR5I1,Or5i1
OR5J2,Or5j3
OR5K1,Or5k1
OR5K1,Or5k1b
OR5K2,Or5k1
OR5K2,Or5k14
OR5K2,Or5k1b
OR5K3,Or5k14
OR5K3,Or5k8
OR5K3,Or5k3
OR5K4,Or5k15
OR5K4,Or5k16
OR5K4,Or5k17
OR5L1,Or5l14
OR5L2,Or5l13
OR5L2,Or5l14
OR5M1,Or5m10
OR5M10,Or5m10b
OR5M10,Or5m10
OR5M11,Or5m11
OR5M11,Or5m11b
OR5M3,Or5m3
OR5M3,Or5m3b
OR5M8,Or5m8
OR5M9,Or5m9
OR5M9,Or5m9b
OR5P2,Or5p70
OR5P2,Or5p73
OR5P2,Or5p66
OR5P2,Or5p72
OR5P2,Or5p76
OR5P2,Or5p79
OR5P2,Or5p63
OR5P2,Or5p6
OR5P2,Or5p51
OR5P2,Or5p67
OR5P2,Or5p58
OR5P2,Or5p60
OR5P2,Or5p68
OR5P2,Or5p64
OR5P2,Or5p59
OR5P2,Or5p78
OR5P2,Or5p61
OR5P2,Or5p50
OR5P2,Or5p81
OR5P2,Or5p69
OR5P3,Or5p80
OR5P3,Or5p57
OR5T1,Or5t17
OR5T1,Or5t9
OR5T2,Or5t16
OR5T2,Or5t18
OR5T2,Or5t7
OR5T2,Or5t15
OR5T3,Or5t5
OR5V1,Or5v1
OR5V1,Or5v1b
OR5W2,Or5w8
OR5W2,Or8w1
OR5W2,Or5w22
OR5W2,Or5w11
OR6A2,Or6a2
OR6B1,Or6b1
OR6B2,Or6b2b
OR6B2,Or6b2
OR6B3,Or6b3
OR6C1,Or6c1
OR6C1,Or6c1b
OR6C2,Or6c2
OR6C2,Or6c2b
OR6C3,Or6c3
OR6C3,Or6c3b
OR6C6,Or6c6
OR6C6,Or6c6c
OR6C6,Or6c6b
OR6C65,Or6c69c
OR6C65,Or6c65
OR6C68,Or6c35
OR6C68,Or6c209
OR6C68,Or6c68
OR6C70,Or6c217
OR6C70,Or6c69b
OR6C70,Or6c70
OR6C74,Or6c74
OR6C75,Or6c75
OR6C76,Or6c66b
OR6C76,Or6c66
OR6C76,Or6c76
OR6C76,Or6c76b
OR6F1,Or6f1
OR6K2,Or6k2
OR6K3,Or6k4
OR6K6,Or6k6
OR6N1,Or6n1
OR6N2,Or6n2
OR6P1,Or6p1
OR6S1,Or6s1
OR6X1,Or6x1
OR6Y1,Or6y1
OR7A10,Or7a36
OR7A10,Or7a40
OR7A10,Or7a37
OR7A17,Or7a35
OR7A17,Or7a41
OR7A17,Or7a40
OR7A2P,Or7a40
OR7A2P,Or7a35
OR7A2P,Or7a41
OR7A5,Or7a37
OR7A5,Or7a40
OR7A5,Or7a36
OR7A5,Or7a41
OR7C1,Or7a36
OR7C1,Or7c70
OR7C2,Or7c70
OR7D4,Or7d10
OR7D4,Or7d11
OR7D4,Or7d9
OR7E24,Or7e177
OR7E24,Or7e175
OR7E24,Or7e174
OR7E24,Or7e178
OR7E24,Or7e176
OR7E24,Or7e173
OR7G1,Or7g28
OR7G1,Or7g34
OR7G1,Or7g29
OR7G1,Or7g27
OR7G2,Or7g25
OR7G2,Or7g22
OR7G2,Or7g20
OR7G2,Or7g16
OR7G2,Or7g33
OR7G2,Or7g17
OR7G2,Or7g32
OR7G2,Or7g27
OR7G2,Or7g28
OR7G2,Or7g21
OR7G2,Or7g31
OR7G2,Or7g26
OR7G2,Or7g29
OR7G2,Or7g18
OR7G2,Or7g34
OR7G2,Or7g30
OR7G2,Or7g35
OR7G3,Or7g12
OR7G3,Or7g19
OR8A1,Or8a1b
OR8A1,Or8a1
OR8B12,Or8b12c
OR8B12,Or8b12
OR8B12,Or8b12b
OR8B2,Or8b3
OR8B2,Or8b3b
OR8B3,Or8b3
OR8B3,Or8b3b
OR8B4,Or8b4
OR8B8,Or8b8
OR8D1,Or8d1b
OR8D1,Or8d23
OR8D1,Or8d1
OR8D2,Or8d2
OR8D2,Or8d2b
OR8D4,Or8d4
OR8G1,Or8g30
OR8G1,Or8g32
OR8G1,Or8g23
OR8G1,Or8g20
OR8G1,Or8g19
OR8G1,Or8g28
OR8G1,Or8g26
OR8G1,Or8g4
OR8G1,Or8g34
OR8G1,Or8g18
OR8G2P,Or8g2
OR8G2P,Or8g2b
OR8G3P,Or8g2b
OR8G3P,Or8g2
OR8G5,Or8g22
OR8G5,Or8g17
OR8G5,Or8g21
OR8H1,Or8h8
OR8H1,Or8h9
OR8H1,Or8h6
OR8H1,Or8h7
OR8H2,Or8h7
OR8H2,Or8h10
OR8H2,Or8h6
OR8H2,Or8h8
OR8H3,Or8h9
OR8H3,Or8h10
OR8H3,Or8h7
OR8H3,Or8h6
OR8H3,Or8h8
OR8I2,Or8i2
OR8J1,Or8j3
OR8J2,Or8j3b
OR8J2,Or8j3c
OR8J3,Or8j3c
OR8J3,Or8j3b
OR8J3,Or8j3
OR8K1,Or8k1
OR8K3,Or8k33
OR8K3,Or8k22
OR8K3,Or8k27
OR8K3,Or8k30
OR8K3,Or8k28
OR8K3,Or8k35
OR8K3,Or8k38
OR8K3,Or8k39
OR8K3,Or8k24
OR8K3,Or8k37
OR8K3,Or8k25
OR8K3,Or8k40
OR8K3,Or8k3b
OR8K3,Or8k41
OR8K3,Or8k3
OR8K3,Or8k32
OR8K5,Or8k16
OR8K5,Or8k18
OR8K5,Or8k20
OR8K5,Or8k21
OR8K5,Or8k17
OR8S1,Or8s16
OR8S1,Or8s2
OR8S1,Or8s5
OR8U1,Or8u8
OR8U1,Or8u9
OR8U3,Or8u3-ps
OR8U8,Or8u8
OR8U9,Or8u9
OR9A1P,Or9a7
OR9A2,Or9a2
OR9A4,Or9a4
OR9G1,Or9g20
OR9G1,Or9g8
OR9G1,Or9g19
OR9G4,Or9g4
OR9G4,Or9g4b
OR9G9,Or9g19
OR9G9,Or9g20
OR9I1,Or9i14
OR9I1,Or9i1
OR9I1,Or9i1b
OR9K2,Or9k2b
OR9K2,Or9k2
OR9Q1,Or9q1
OR9Q2,Or9q2
ORAI1,Orai1
ORAI2,Orai2
ORAI3,Orai3
ORC1,Orc1
ORC2,Orc2
ORC3,Orc3
ORC4,Orc4
ORC5,Orc5
ORC6,Orc6
ORM1,Orm3
ORM1,Orm2
ORM1,Orm1
ORM2,Orm1
ORM2,Orm3
ORM2,Orm2
ORMDL1,Ormdl1
ORMDL2,Ormdl2
ORMDL3,Ormdl3
OS9,Os9
OSBP,Osbp
OSBP2,Osbp2
OSBPL10,Osbpl10
OSBPL11,Osbpl11
OSBPL1A,Osbpl1a
OSBPL2,Osbpl2
OSBPL3,Osbpl3
OSBPL5,Osbpl5
OSBPL6,Osbpl6
OSBPL7,Osbpl7
OSBPL8,Osbpl8
OSBPL9,Osbpl9
OSCAR,Oscar
OSCP1,Oscp1
OSER1,Oser1
OSGEP,Osgep
OSGEPL1,Osgepl1
OSGIN1,Osgin1
OSGIN2,Osgin2
OSM,Osm
OSMR,Osmr
OSR1,Osr1
OSR2,Osr2
OST4,Ost4
OSTC,Ostc
OSTF1,Ostf1
OSTM1,Ostm1
OSTN,Ostn
OTC,Otc
OTOA,Otoa
OTOF,Otof
OTOG,Otog
OTOGL,Otogl
OTOL1,Otol1
OTOP1,Otop1
OTOP2,Otop2
OTOP3,Otop3
OTOR,Otor
OTOS,Otos
OTP,Otp
OTUB1,Otub1
OTUB2,Otub2
OTUD1,Otud1
OTUD3,Otud3
OTUD4,Otud4
OTUD5,Otud5
OTUD6A,Otud6a
OTUD6B,Otud6b
OTUD7A,Otud7a
OTUD7B,Otud7b
OTULIN,Otulin
OTULINL,Otulinl
OTX1,Otx1
OTX2,Otx2
OTX2-AS1,Otx2os1
OVCA2,Ovca2
OVCH2,Ovch2
OVGP1,Ovgp1
OVOL1,Ovol1
OVOL2,Ovol2
OVOL3,Ovol3
OXA1L,Oxa1l
OXCT1,Oxct1
OXCT1-AS1,BC037032
OXCT2,Oxct2b
OXCT2,Oxct2a
OXGR1,Oxgr1
OXLD1,Oxld1
OXNAD1,Oxnad1
OXR1,Oxr1
OXSM,Oxsm
OXSR1,Oxsr1
OXT,Oxt
OXTR,Oxtr
P2RX1,P2rx1
P2RX2,P2rx2
P2RX3,P2rx3
P2RX4,P2rx4
P2RX5,P2rx5
P2RX6,P2rx6
P2RX7,P2rx7
P2RY1,P2ry1
P2RY10,P2ry10
P2RY12,P2ry12
P2RY13,P2ry13
P2RY14,P2ry14
P2RY2,P2ry2
P2RY4,P2ry4
P2RY6,P2ry6
P3H1,P3h1
P3H2,P3h2
P3H3,P3h3
P3H4,P3h4
P3R3URF,P3r3urf
P4HA1,P4ha1
P4HA2,P4ha2
P4HA3,P4ha3
P4HB,P4hb
P4HTM,P4htm
PA2G4,Pa2g4
PABIR1,Fam122a
PABIR2,Fam122b
PABIR3,Fam122c
PABPC1,Pabpc1
PABPC1L,Pabpc1l
PABPC1L2A,Pabpc1l2b
PABPC3,Pabpc1
PABPC4,Pabpc4
PABPC4L,Pabpc4l
PABPC5,Pabpc5
PABPN1,Pabpn1
PABPN1L,Pabpn1l
PACC1,Pacc1
PACRG,Pacrg
PACRGL,Pacrgl
PACS1,Pacs1
PACS2,Pacs2
PACSIN1,Pacsin1
PACSIN2,Pacsin2
PACSIN3,Pacsin3
PADI1,Padi1
PADI2,Padi2
PADI3,Padi3
PADI4,Padi4
PADI6,Padi6
PAF1,Paf1
PAFAH1B1,Pafah1b1
PAFAH1B2,Pafah1b2
PAFAH1B3,Pafah1b3
PAFAH2,Pafah2
PAG1,Pag1
PAGR1,Pagr1a
PAH,Pah
PAICS,Paics
PAIP1,Paip1
PAIP2,Paip2
PAIP2B,Paip2b
PAK1,Pak1
PAK1IP1,Pak1ip1
PAK2,Pak2
PAK3,Pak3
PAK4,Pak4
PAK5,Pak5
PAK6,Pak6
PALB2,Palb2
PALD1,Pald1
PALLD,Palld
PALM,Palm
PALM2AKAP2,Pakap
PALM3,Palm3
PALMD,Palmd
PALS1,Pals1
PALS2,Pals2
PAM,Pam
PAM16,Pam16l
PAM16,Pam16
PAMR1,Pamr1
PAN2,Pan2
PAN3,Pan3
PANK1,Pank1
PANK2,Pank2
PANK3,Pank3
PANK4,Pank4
PANTR1,Pantr1
PANX1,Panx1
PANX2,Panx2
PANX3,Panx3
PAOX,Paox
PAPLN,Papln
PAPOLA,Papola
PAPOLB,Papolb
PAPOLG,Papolg
PAPPA,Pappa
PAPPA2,Pappa2
PAPSS1,Papss1
PAPSS2,Papss2
PAQR3,Paqr3
PAQR4,Paqr4
PAQR5,Paqr5
PAQR6,Paqr6
PAQR7,Paqr7
PAQR8,Paqr8
PAQR9,Paqr9
PARAL1,Paral1
PARD3,Pard3
PARD3B,Pard3b
PARD6A,Pard6a
PARD6B,Pard6b
PARD6G,Pard6g
PARG,Parg
PARK7,Park7
PARL,Parl
PARM1,Parm1
PARN,Parn
PARP1,Parp1
PARP10,Parp10
PARP11,Parp11
PARP12,Parp12
PARP14,Parp14
PARP16,Parp16
PARP2,Parp2
PARP3,Parp3
PARP4,Parp4
PARP6,Parp6
PARP8,Parp8
PARP9,Parp9
PARPBP,Parpbp
PARS2,Pars2
PARVA,Parva
PARVB,Parvb
PARVG,Parvg
PASD1,Gm1141
PASK,Pask
PATE1,Pate1
PATE2,Pate2
PATE3,Pate3
PATE4,Pate4
PATJ,Patj
PATL1,Patl1
PATL2,Patl2
PATZ1,Patz1
PAUPAR,Paupar
PAWR,Pawr
PAX1,Pax1
PAX2,Pax2
PAX3,Pax3
PAX4,Pax4
PAX5,Pax5
PAX6,Pax6
PAX7,Pax7
PAX8,Pax8
PAX9,Pax9
PAXBP1,Paxbp1
PAXIP1,Paxip1
PAXX,Paxx
PBDC1,Pbdc1
PBK,Pbk
PBLD,Pbld1
PBLD,Pbld2
PBRM1,Pbrm1
PBX1,Pbx1
PBX2,Pbx2
PBX3,Pbx3
PBX4,Pbx4
PBXIP1,Pbxip1
PC,Pcx
PCARE,Pcare
PCBD1,Pcbd1
PCBD2,Pcbd2
PCBP1,Pcbp1
PCBP2,Pcbp2
PCBP3,Pcbp3
PCBP4,Pcbp4
PCCA,Pcca
PCCB,Pccb
PCDH1,Pcdh1
PCDH10,Pcdh10
PCDH11X,Pcdh11x
PCDH11Y,Pcdh11x
PCDH12,Pcdh12
PCDH15,Pcdh15
PCDH17,Pcdh17
PCDH18,Pcdh18
PCDH19,Pcdh19
PCDH20,Pcdh20
PCDH7,Pcdh7
PCDH8,Pcdh8
PCDH9,Pcdh9
PCDHA1,Pcdha1
PCDHA10,Pcdha9
PCDHA11,Pcdha11
PCDHA12,Pcdha10
PCDHA13,Pcdha12
PCDHA2,Pcdha2
PCDHA3,Pcdha3
PCDHA4,Gm37013
PCDHA4,Pcdha4
PCDHA5,Pcdha5
PCDHA6,Pcdha6
PCDHA7,Pcdha7
PCDHA8,Pcdha6
PCDHA9,Pcdha8
PCDHAC1,Pcdhac1
PCDHAC2,Pcdhac2
PCDHB1,Pcdhb1
PCDHB10,Pcdhb18
PCDHB11,Pcdhb21
PCDHB11,Pcdhb19
PCDHB12,Pcdhb19
PCDHB13,Pcdhb16
PCDHB14,Pcdhb20
PCDHB15,Pcdhb22
PCDHB16,Pcdhb17
PCDHB18P,Pcdhb21
PCDHB2,Pcdhb2
PCDHB3,Pcdhb3
PCDHB4,Pcdhb9
PCDHB4,Pcdhb5
PCDHB4,Pcdhb7
PCDHB5,Pcdhb11
PCDHB5,Pcdhb12
PCDHB5,Pcdhb4
PCDHB5,Pcdhb10
PCDHB5,Pcdhb8
PCDHB5,Pcdhb6
PCDHB6,Pcdhb13
PCDHB7,Pcdhb15
PCDHB8,Pcdhb16
PCDHB9,Pcdhb18
PCDHGA1,Pcdhga1
PCDHGA10,Pcdhga10
PCDHGA11,Pcdhga11
PCDHGA12,Pcdhga12
PCDHGA2,Pcdhga2
PCDHGA3,Pcdhga3
PCDHGA4,Pcdhga4
PCDHGA5,Pcdhga5
PCDHGA6,Pcdhga6
PCDHGA7,Pcdhga7
PCDHGA8,Pcdhga8
PCDHGA9,Pcdhga9
PCDHGB1,Pcdhgb1
PCDHGB2,Pcdhgb2
PCDHGB3,Pcdhgb8
PCDHGB4,Pcdhgb4
PCDHGB5,Pcdhgb5
PCDHGB6,Pcdhgb6
PCDHGB7,Pcdhgb7
PCDHGB8P,Pcdhgb8
PCDHGC3,Pcdhgc3
PCDHGC4,Pcdhgc4
PCDHGC5,Pcdhgc5
PCED1A,Pced1a
PCED1B,Pced1b
PCF11,Pcf11
PCGF1,Pcgf1
PCGF2,Pcgf2
PCGF3,Pcgf3
PCGF5,Pcgf5
PCGF6,Pcgf6
PCID2,Pcid2
PCIF1,Pcif1
PCK1,Pck1
PCK2,Pck2
PCLAF,Pclaf
PCLO,Pclo
PCM1,Pcm1
PCMT1,Pcmt1
PCMTD1,Pcmtd1
PCMTD2,Pcmtd2
PCNA,Pcna
PCNP,Pcnp
PCNT,Pcnt
PCNX1,Pcnx
PCNX2,Pcnx2
PCNX3,Pcnx3
PCNX4,Pcnx4
PCOLCE,Pcolce
PCOLCE2,Pcolce2
PCP2,Pcp2
PCP4,Pcp4
PCP4L1,Pcp4l1
PCSK1,Pcsk1
PCSK1N,Pcsk1n
PCSK2,Pcsk2
PCSK4,Pcsk4
PCSK5,Pcsk5
PCSK6,Pcsk6
PCSK7,Pcsk7
PCSK9,Pcsk9
PCTP,Pctp
PCYOX1,Pcyox1
PCYOX1L,Pcyox1l
PCYT1A,Pcyt1a
PCYT1B,Pcyt1b
PCYT2,Pcyt2
PDAP1,Pdap1
PDC,Pdc
PDCD1,Pdcd1
PDCD10,Pdcd10
PDCD11,Pdcd11
PDCD1LG2,Pdcd1lg2
PDCD2,Pdcd2
PDCD2L,Pdcd2l
PDCD4,Pdcd4
PDCD5,Pdcd5-ps
PDCD5,Pdcd5
PDCD6,Pdcd6
PDCD6IP,Pdcd6ip
PDCD7,Pdcd7
PDCL,Pdcl
PDCL2,Pdcl2
PDCL3,Pdcl3
PDE10A,Pde10a
PDE11A,Pde11a
PDE12,Pde12
PDE1A,Pde1a
PDE1B,Pde1b
PDE1C,Pde1c
PDE2A,Pde2a
PDE3A,Pde3a
PDE3B,Pde3b
PDE4A,Pde4a
PDE4B,Pde4b
PDE4C,Pde4c
PDE4D,Pde4d
PDE4DIP,Pde4dip
PDE5A,Pde5a
PDE6A,Pde6a
PDE6B,Pde6b
PDE6C,Pde6c
PDE6D,Pde6d
PDE6G,Pde6g
PDE6H,Pde6h
PDE7A,Pde7a
PDE7B,Pde7b
PDE8A,Pde8a
PDE8B,Pde8b
PDE9A,Pde9a
PDF,Pdf
PDGFA,Pdgfa
PDGFB,Pdgfb
PDGFC,Pdgfc
PDGFD,Pdgfd
PDGFRA,Pdgfra
PDGFRB,Pdgfrb
PDGFRL,Pdgfrl
PDHA1,Pdha1
PDHA2,Pdha2
PDHB,Pdhb
PDHX,Pdhx
PDIA2,Pdia2
PDIA3,Pdia3
PDIA4,Pdia4
PDIA5,Pdia5
PDIA6,Pdia6
PDIK1L,Pdik1l
PDILT,Pdilt
PDK1,Pdk1
PDK2,Pdk2
PDK3,Pdk3
PDK4,Pdk4
PDLIM1,Pdlim1
PDLIM2,Pdlim2
PDLIM3,Pdlim3
PDLIM4,Pdlim4
PDLIM5,Pdlim5
PDLIM7,Pdlim7
PDP1,Pdp1
PDP2,Pdp2
PDPK1,Pdpk1
PDPK2P,Pdpk1
PDPN,Pdpn
PDPR,Pdpr
PDRG1,Pdrg1
PDS5A,Pds5a
PDS5B,Pds5b
PDSS1,Pdss1
PDSS2,Pdss2
PDX1,Pdx1
PDXDC1,Pdxdc1
PDXDC2P,Pdxdc1
PDXK,Pdxk
PDXP,Pdxp
PDYN,Pdyn
PDZD11,Pdzd11
PDZD2,Pdzd2
PDZD4,Pdzd4
PDZD7,Pdzd7
PDZD8,Pdzd8
PDZD9,Pdzd9
PDZK1,Pdzk1
PDZK1IP1,Pdzk1ip1
PDZK1P1,Pdzk1
PDZPH1P,Pdzph1
PDZRN3,Pdzrn3
PDZRN4,Pdzrn4
PEA15,Pea15a
PEAK1,Peak1
PEAR1,Pear1
PEBP1,Pebp1
PEBP1,Pbp2
PEBP4,Pebp4
PECAM1,Pecam1
PECR,Pecr
PEDS1,Peds1
PEDS1-UBE2V1,Peds1
PEDS1-UBE2V1,Ube2v1
PEF1,Pef1
PEG10,Peg10
PEG13,Peg13
PEG3,Peg3
PELI1,Peli1
PELI2,Peli2
PELI3,Peli3
PELO,Pelo
PELP1,Pelp1
PEMT,Pemt
PENK,Penk
PEPB,Pepb
PEPD,Pepd
PER1,Per1
PER2,Per2
PER3,Per3
PERCC1,Percc1
PERM1,Perm1
PERP,Perp
PES1,Pes1
PET100,Pet100
PET117,Pet117
PEX1,Pex1
PEX10,Pex10
PEX11A,Pex11a
PEX11B,Pex11b
PEX11G,Pex11g
PEX12,Pex12
PEX13,Pex13
PEX14,Pex14
PEX16,Pex16
PEX19,Pex19
PEX2,Pex2
PEX26,Pex26
PEX3,Pex3
PEX5,Pex5
PEX5L,Pex5l
PEX6,Pex6
PEX7,Pex7
PF4,Pf4
PF4V1,Pf4
PFAS,Pfas
PFDN1,Pfdn1
PFDN2,Pfdn2
PFDN4,Pfdn4
PFDN5,Pfdn5
PFDN6,Pfdn6
PFKFB1,Pfkfb1
PFKFB2,Pfkfb2
PFKFB3,Pfkfb3
PFKFB4,Pfkfb4
PFKL,Pfkl
PFKM,Pfkm
PFKP,Pfkp
PFN1,Pfn1
PFN2,Pfn2
PFN3,Pfn3
PFN4,Pfn4
PGA3,Pga5
PGA4,Pga5
PGA5,Pga5
PGAM1,Pgam1
PGAM2,Pgam2
PGAM4,Pgam1
PGAM5,Pgam5
PGAP1,Pgap1
PGAP2,Pgap2
PGAP3,Pgap3
PGAP4,Pgap4
PGAP6,Pgap6
PGBD1,Pgbd1
PGBD5,Pgbd5
PGC,Pgc
PGD,Pgd
PGF,Pgf
PGGHG,Pgghg
PGGT1B,Pggt1b
PGK1,Pgk1
PGK2,Pgk2
PGLS,Pgls
PGLYRP1,Pglyrp1
PGLYRP2,Pglyrp2
PGLYRP3,Pglyrp3
PGLYRP4,Pglyrp4
PGM1,Pgm1
PGM2,Pgm2
PGM2L1,Pgm2l1
PGM3,Pgm3
PGM5,Pgm5
PGP,Pgp
PGPEP1,Pgpep1
PGPEP1L,Pgpep1l
PGR,Pgr
PGRMC1,Pgrmc1
PGRMC2,Pgrmc2
PGS1,Pgs1
PHACTR1,Phactr1
PHACTR2,Phactr2
PHACTR3,Phactr3
PHACTR4,Phactr4
PHAF1,Phaf1
PHAX,Phax
PHB1,Phb
PHB2,Phb2
PHC1,Phc1
PHC2,Phc2
PHC3,Phc3
PHETA1,Pheta1
PHETA2,Pheta2
PHEX,Phex
PHF1,Phf1
PHF10,Phf10
PHF11,Phf11
PHF11,Phf11d
PHF11,Phf11b
PHF11,Phf11a
PHF11,Phf11c
PHF12,Phf12
PHF13,Phf13
PHF14,Phf14
PHF19,Phf19
PHF2,Phf2
PHF20,Phf20
PHF20L1,Phf20l1
PHF21A,Phf21a
PHF21B,Phf21b
PHF23,Phf23
PHF24,Phf24
PHF3,Phf3
PHF5A,Phf5a
PHF6,Phf6
PHF7,Phf7
PHF8,Phf8
PHGDH,Phgdh
PHGR1,Phgr1
PHIP,Phip
PHKA1,Phka1
PHKA2,Phka2
PHKB,Phkb
PHKG1,Phkg1
PHKG2,Phkg2
PHLDA1,Phlda1
PHLDA2,Phlda2
PHLDA3,Phlda3
PHLDB1,Phldb1
PHLDB2,Phldb2
PHLDB3,Phldb3
PHLPP1,Phlpp1
PHLPP2,Phlpp2
PHOSPHO1,Phospho1
PHOSPHO2,Phospho2
PHOX2A,Phox2a
PHOX2B,Phox2b
PHPT1,Phpt1
PHRF1,Phrf1
PHTF1,Phtf1
PHTF2,Phtf2
PHYH,Phyh
PHYHD1,Phyhd1
PHYHIP,Phyhip
PHYHIPL,Phyhipl
PHYKPL,Phykpl
PI15,Pi15
PI16,Pi16
PI4K2A,Pi4k2a
PI4K2B,Pi4k2b
PI4KA,Pi4ka
PIEZO2,Piezo2
PIF1,Pif1
PIFO,Pifo
PIGA,Piga
PIGB,Pigb
PIGBOS1,Pigbos1
PIGC,Pigc
PIGF,Pigf
PIGG,Pigg
PIGH,Pigh
PIGK,Pigk
PIGL,Pigl
PIGM,Pigm
PIGN,Pign
PIGO,Pigo
PIGP,Pigp
PIGQ,Pigq
PIGR,Pigr
PIGS,Pigs
PIGT,Pigt
PIGU,Pigu
PIGV,Pigv
PIGW,Pigw
PIGX,Pigx
PIGY,Pigyl
PIGZ,Pigz
PIH1D1,Pih1d1
PIH1D2,Pih1d2
PIK3AP1,Pik3ap1
PIK3C2A,Pik3c2a
PIK3C2B,Pik3c2b
PIK3C2G,Pik3c2g
PIK3C3,Pik3c3
PIK3CA,Pik3ca
PIK3CB,Pik3cb
PIK3CD,Pik3cd
PIK3CG,Pik3cg
PIK3IP1,Pik3ip1
PIK3R1,Pik3r1
PIK3R2,Pik3r2
PIK3R3,Pik3r3
PIK3R4,Pik3r4
PIK3R5,Pik3r5
PIK3R6,Pik3r6
PIKFYVE,Pikfyve
PILRA,Pilra
PILRA,Pilrb2
PILRB,Pilrb1
PILRB,Pilrb2
PILRB,Pilra
PIM1,Pim1
PIM2,Pim2
PIM3,Pim3
PIMREG,Pimreg
PIN1,Pin1
PIN1,Pin1rt1
PIN4,Pin4
PINK1,Pink1
PINLYP,Pinlyp
PINX1,Pinx1
PIP,Pip
PIP4K2A,Pip4k2a
PIP4K2B,Pip4k2b
PIP4K2C,Pip4k2c
PIP4P1,Pip4p1
PIP4P2,Pip4p2
PIP5K1A,Pip5k1a
PIP5K1B,Pip5k1b
PIP5K1C,Pip5k1c
PIP5KL1,Pip5kl1
PIPOX,Pipox
PIR,Pir
PIRT,Pirt
PISD,Pisd
PITHD1,Pithd1
PITPNA,Pitpna
PITPNB,Pitpnb
PITPNC1,Pitpnc1
PITPNM1,Pitpnm1
PITPNM2,Pitpnm2
PITPNM3,Pitpnm3
PITRM1,Pitrm1
PITX1,Pitx1
PITX2,Pitx2
PITX3,Pitx3
PIWIL1,Piwil1
PIWIL2,Piwil2
PIWIL4,Piwil4
PJA1,Pja1
PJA2,Pja2
PJVK,Pjvk
PKD1,Pkd1
PKD1L1,Pkd1l1
PKD1L2,Pkd1l2
PKD1L3,Pkd1l3
PKD2,Pkd2
PKD2L1,Pkd2l1
PKD2L2,Pkd2l2
PKDCC,Pkdcc
PKDREJ,Pkdrej
PKHD1,Pkhd1
PKHD1L1,Pkhd1l1
PKIA,Pkia
PKIB,Pkib
PKIG,Pkig
PKLR,Pklr
PKM,Pkm
PKMYT1,Pkmyt1
PKN1,Pkn1
PKN2,Pkn2
PKN3,Pkn3
PKNOX1,Pknox1
PKNOX2,Pknox2
PKP1,Pkp1
PKP2,Pkp2
PKP3,Pkp3
PKP4,Pkp4
PLA1A,Pla1a
PLA2G10,Pla2g10
PLA2G12A,Pla2g12a
PLA2G12B,Pla2g12b
PLA2G15,Pla2g15
